Track_ID,Window_Index,X_Coord,Y_Coord,Velocity_X,Velocity_Y
286,0,398.0,380.0,1.3910726308822632,-0.06344906240701675
286,1,407.0,382.0,0.7835078835487366,0.11430410295724869
286,2,419.0,383.0,0.7133233547210693,-0.04941920191049576
286,3,427.0,384.0,0.8141384720802307,-0.05726751312613487
286,4,441.0,385.0,-0.009978077374398708,0.009235360659658909
286,5,458.0,386.0,0.019294071942567825,-0.0037522315979003906
286,6,464.0,385.0,0.0023189727216959,0.002733571222051978
286,7,491.0,386.0,1.18817937374115,-0.36115023493766785
286,8,507.0,386.0,0.8654665350914001,-0.23164638876914978
286,9,537.0,387.0,1.593834400177002,-0.38189321756362915
286,10,542.0,388.0,1.1348603963851929,0.14369817078113556
286,11,542.0,388.0,1.599370002746582,-0.6729623079299927
286,12,563.0,388.0,2.071662425994873,-0.6958903074264526
286,13,574.0,389.0,1.4509934186935425,0.07962775230407715
286,14,583.0,390.0,1.3323594331741333,-0.30685800313949585
286,15,590.0,390.0,0.6802150011062622,-0.20946519076824188
286,16,598.0,391.0,0.7572237849235535,-0.24063289165496826
286,17,602.0,391.0,0.529455840587616,-0.020703531801700592
286,18,608.0,390.0,0.6238667964935303,-0.23186944425106049
286,19,613.0,390.0,0.5437572002410889,-0.12169381976127625
286,20,618.0,390.0,0.4880274832248688,-0.1668097823858261
286,21,621.0,390.0,0.49934080243110657,-0.2596406936645508
286,22,627.0,390.0,0.24896860122680664,-0.05908318608999252
286,23,634.0,390.0,0.6276333928108215,-0.24458499252796173
286,24,640.0,390.0,0.5150855779647827,-0.27170658111572266
286,25,645.0,391.0,0.7037751078605652,-0.39162716269493103
286,26,651.0,391.0,2.8743157386779785,-0.6047194600105286
286,27,657.0,391.0,0.26384925842285156,-0.17036283016204834
286,28,662.0,391.0,0.18416015803813934,-0.16201521456241608
286,29,666.0,391.0,0.183018758893013,-0.2691875696182251
303,0,87.0,350.0,-1.9865810871124268,-0.0008088458562269807
303,1,85.0,351.0,-2.031095266342163,0.032923780381679535
303,2,82.0,350.0,-2.195765256881714,0.04812679439783096
303,3,73.0,343.0,-1.9690402746200562,0.012511414475739002
303,4,61.0,331.0,-1.5025262832641602,-0.06505396962165833
303,5,61.0,335.0,-2.0027353763580322,-0.007152691949158907
303,6,66.0,345.0,-2.0911080837249756,-0.005351134575903416
303,7,67.0,349.0,-2.5718719959259033,0.032593224197626114
303,8,63.0,349.0,-3.0331177711486816,0.2083185762166977
303,9,57.0,347.0,-2.6693215370178223,0.10069072246551514
303,10,54.0,347.0,-3.3740062713623047,0.2437608540058136
303,11,51.0,348.0,-3.1907222270965576,-0.3521480858325958
303,12,46.0,347.0,-3.2119176387786865,-0.1756165772676468
303,13,42.0,347.0,-3.66477108001709,0.5312440991401672
